monsbey college,,6 Hangar Way,santa cruz,CA,95076,santa cruz,-1.21791476000000E+002,+3.69300130000000E+001
Bethany University,,800 Bethany Drive,Scotts Valley,CA,95066,Santa cruz,-1.21994072000000E+002,+3.70760040000000E+001
Cabrillo College,,318 Union St,Watsonville,CA,95076,Santa cruz,-1.21755627393720E+002,+3.69108440306240E+001
Merrill College,, 200 McLaughlin Dr,santa cruz,CA,95064,santa cruz,-1.22057965700000E+002,+3.69999097000000E+001
UC Santa Cruz,, 1156 High Street,santa cruz,CA,95064,santa cruz,-1.22057787000000E+002,+3.69915854000000E+001
